P1	P2	P3	P4	ABBA	BABA	BAAA	ABAA	ABBA_HOM	BABA_HOM	BAAA_HOM	ABAA_HOM	D	Danc	D+	fhom	fanc	f+
NA18486	NA11933	AltaiNeandertal	Ancestor	2388	2148	8975	8531	15254	0	15719	0	0.05291005291005291	0.025362732777333485	0.031031666817893114	0.01573357807788121	0.02824607163305554	0.02208375036321958
NA18486	NA11992	AltaiNeandertal	Ancestor	2357	2195	9057	8708	15254	0	15719	0	0.035588752196836555	0.019645370109766396	0.02289734283281803	0.010620165202569818	0.022202430180036897	0.016498240402931585
NA18486	NA11994	AltaiNeandertal	Ancestor	2423	2234	9228	8819	15254	0	15719	0	0.04058406699592012	0.022663046489721284	0.026338971106412968	0.012390192736331454	0.026019466887206567	0.019307138475446357
NA18486	NA11995	AltaiNeandertal	Ancestor	2440	2274	9083	8698	15254	0	15719	0	0.035214255409418756	0.021652325516000225	0.024494332073794176	0.010882391503867838	0.0244926522043387	0.01778968779259355
NA18486	NA12003	AltaiNeandertal	Ancestor	2288	2301	9010	8815	15254	0	15719	0	-0.0028328611898017	0.01093969144460028	0.008119925046845722	-0.0008522354792185657	0.01240536929830142	0.005876085622961934
NA18486	NA12004	AltaiNeandertal	Ancestor	2340	2298	9176	8879	15254	0	15719	0	0.009055627425614488	0.016449736914982	0.014938527299167144	0.002753376163629212	0.018894331700489854	0.010945016627385142
NA18486	NA12005	AltaiNeandertal	Ancestor	2392	2183	9128	8814	15254	0	15719	0	0.04568306010928962	0.017500836027198752	0.02322689523471155	0.013701324242821555	0.019975825434187924	0.016885674619830173
NA18486	NA12006	AltaiNeandertal	Ancestor	2231	2253	8902	8741	15254	0	15719	0	-0.004906333630686887	0.009125432182735363	0.006281918018710173	-0.001442244657139111	0.010242381830905273	0.004487779679075324
NA18486	NA12043	AltaiNeandertal	Ancestor	2372	2319	9078	8804	15254	0	15719	0	0.011298230654444682	0.015322670842187676	0.014486333229965002	0.0034744984921987673	0.017431134296074815	0.010557582410486552
NA18486	NA12044	AltaiNeandertal	Ancestor	2333	2210	8984	8626	15254	0	15719	0	0.027074620294959276	0.020329358319136855	0.021712634857581365	0.00806345876491412	0.02277498568611235	0.015529654860685112
NA18486	NA12045	AltaiNeandertal	Ancestor	2280	2287	9043	8806	15254	0	15719	0	-0.001532734836873221	0.013278054792985602	0.010260528194147038	-0.0004588960272715353	0.015077294993320186	0.007425822490556291
NA18486	NA12046	AltaiNeandertal	Ancestor	2434	2221	9232	8881	15254	0	15719	0	0.04575725026852846	0.019378347043559875	0.02477160927617709	0.013963550544119576	0.022329664736942555	0.018209408194233688
NA18486	NA12058	AltaiNeandertal	Ancestor	2293	2250	9050	8709	15254	0	15719	0	0.009465111160026414	0.019201531617771272	0.017218186709712133	0.002818932738953717	0.021693491952414275	0.01239789494075485
NA18486	NA12144	AltaiNeandertal	Ancestor	2587	2149	9191	8732	15254	0	15719	0	0.09248310810810811	0.02560955197232606	0.039586919104991396	0.02871377999213321	0.029200330809847956	0.028960707713169536
NA18486	NA12154	AltaiNeandertal	Ancestor	2288	2207	8786	8604	15254	0	15719	0	0.018020022246941044	0.010465784933870041	0.012017363490975553	0.005310082601284909	0.011578344678414657	0.00849126658702741
NA18486	NA12155	AltaiNeandertal	Ancestor	2389	2400	9170	8983	15254	0	15719	0	-0.0022969304656504487	0.01030132760425274	0.007671519483915962	-0.0007211223285695555	0.011896431070678797	0.00568236851451264
NA18486	NA12156	AltaiNeandertal	Ancestor	2387	2273	9066	8772	15254	0	15719	0	0.024463519313304722	0.01648166834846956	0.018134945328473644	0.007473449586993575	0.01870347986513137	0.013172763374552029
NA18486	NA12234	AltaiNeandertal	Ancestor	2288	2247	9100	8872	15254	0	15719	0	0.009040793825799339	0.012686401068328511	0.011951837206202515	0.002687819588304707	0.014504739487244735	0.008684983695476706
NA18486	NA12249	AltaiNeandertal	Ancestor	2439	2219	9111	8505	15254	0	15719	0	0.047230571060541	0.03440054495912807	0.03708359522313011	0.01442244657139111	0.03855207074241364	0.02666838859651955
NA18486	NA12272	AltaiNeandertal	Ancestor	2330	2200	8903	8621	15254	0	15719	0	0.02869757174392936	0.016092216388952293	0.018681418336809648	0.008522354792185657	0.017940072523697437	0.013301908113518226
NA18486	NA12273	AltaiNeandertal	Ancestor	2322	2295	8799	8613	15254	0	15719	0	0.005847953216374269	0.010682288077188146	0.009669072586136456	0.0017700275337616362	0.011832813792225968	0.0068769573499499565
NA18486	NA12275	AltaiNeandertal	Ancestor	2456	2188	9179	8565	15254	0	15719	0	0.05770887166236004	0.03460324616771866	0.03939610505628015	0.017569162186967354	0.03906100897003626	0.028476414942046297
NA18486	NA12282	AltaiNeandertal	Ancestor	2457	2195	9170	8727	15254	0	15719	0	0.05631986242476354	0.02475275185785327	0.031265244578473544	0.017175822735020323	0.02818245435460271	0.02276176024279211
NA18486	NA12283	AltaiNeandertal	Ancestor	2359	2310	9109	8708	15254	0	15719	0	0.010494752623688156	0.022506594825166974	0.020012452192475317	0.0032122721909007474	0.025510528659583944	0.014528783133697092
NA18486	NA12286	AltaiNeandertal	Ancestor	2282	2423	9113	8988	15254	0	15719	0	-0.029968119022316685	0.006905695817910612	-0.000701569762343243	-0.009243477120755211	0.007952159806603474	-0.0005165789558647855
NA18486	NA12287	AltaiNeandertal	Ancestor	2302	2230	8967	8740	15254	0	15719	0	0.01588702559576346	0.012819788784096686	0.013444849138900131	0.0047200734233643635	0.014441122208791908	0.009653569237723179
NA18486	NA12340	AltaiNeandertal	Ancestor	2259	2095	8963	8604	15254	0	15719	0	0.037666513550757924	0.020436044856833837	0.023858400620409653	0.010751278353218829	0.022838602964565177	0.016885674619830173
NA18486	NA12341	AltaiNeandertal	Ancestor	2312	2221	8826	8571	15254	0	15719	0	0.020075005515111405	0.014657699603379893	0.015777473780209758	0.00596564835452996	0.016222406005471087	0.011171019920575986
NA18486	NA12342	AltaiNeandertal	Ancestor	2272	2407	9003	9008	15254	0	15719	0	-0.02885231887155375	-0.00027760812836599854	-0.00617011899515205	-0.008850137668808182	-0.00031808639226413895	-0.004520065863816872
NA18486	NA12347	AltaiNeandertal	Ancestor	2257	2298	8873	8749	15254	0	15719	0	-0.009001097694840834	0.00703665872205198	0.0037426162240158725	-0.002687819588304707	0.007888542528150645	0.0026797533335485746
NA18486	NA12348	AltaiNeandertal	Ancestor	2460	2323	9202	8848	15254	0	15719	0	0.02864311101818942	0.01961218836565097	0.02150396356151185	0.008981250819457191	0.022520516572301037	0.015852516708100603
