P1,P2,P3,P4,ABBA,BABA,BAAA,ABAA,ABBA_HOM,BABA_HOM,BAAA_HOM,ABAA_HOM,N_SEG,D,D_SE,D_Z,D_BLOCKS,Danc,Danc_SE,Danc_Z,Danc_BLOCKS,D+,D+_SE,D+_Z,D+_BLOCKS,fhom,fhom_SE,fhom_Z,fhom_BLOCKS,fanc,fanc_SE,fanc_Z,fanc_BLOCKS,f+,f+_SE,f+_Z,f+_BLOCKS
AFR,2H10_2X,Altai,EPO,2878.5244006849307,2849.6793664383554,10364.904537671231,10239.468750000002,12810.645119863017,94.30008561643834,17683.38570205479,252.9499143835616,242187,0.005035615948603265,0.0011814837770069918,4.262111800942201,37,0.0060878234887291926,0.0015259930430494273,3.989417590373645,37,0.005858933654566628,0.0013631136644604855,4.298198901032635,37,0.002268343157479003,0.010044668231246012,0.22582559276799744,36,0.007196365552716221,0.0012481819843332077,5.765477825383449,37,0.005117654943961273,0.007868755984373072,0.6503766229534454,37
AFR,2H10_2X,Altai,Chimp,2905.088184931507,2810.331335616437,10135.815924657536,10071.112157534246,12465.340753424658,98.58390410958904,17535.6198630137,244.91609589041096,238709,0.016579159058123752,0.002956611240915304,5.607486986686554,37,0.0032020585642759387,0.001180509599543561,2.712437548592575,37,0.006151472809565541,0.0013966762278077183,4.404365655468449,37,0.007662223044380294,0.0361421524716168,0.21200239942536905,37,0.0037421129871138344,0.0006763766909638569,5.532587147231836,37,0.005376745450349685,0.007928742696858733,0.6781334261836852,37
AFR,2H10_2X,Vindija,EPO,2899.159246575343,2843.1883561643835,10363.9948630137,10214.080479452054,13034.816780821919,153.84589041095893,17653.818493150684,461.9041095890411,242766,0.009747039761970366,0.0018769153914206637,5.19311621958233,37,0.007285150873768913,0.0017343315727835816,4.200552528762612,37,0.007822263130088122,0.0016779104726988125,4.661907329004573,37,0.00434523848296451,0.01076594578054163,0.40360954546307426,36,0.008720051776490363,0.001505342629226336,5.792735558795671,37,0.0068462095371605485,0.00837682006678917,0.8172802426905532,37
AFR,2H10_2X,Vindija,Chimp,2919.274828767124,2811.404109589041,10128.434931506847,10050.134417808218,12701.076626712327,155.70590753424656,17504.594606164377,450.79409246575335,239284,0.018823375090181765,0.0033420522920347574,5.632280241408623,37,0.003880379839777209,0.0012848319863673775,3.0201457318542158,37,0.007185512709965411,0.0015736310529422342,4.566199107809028,37,0.008598448112273078,0.010860193225807654,0.7917398828448217,37,0.004591382057960211,0.0008159619084401313,5.626956369492204,37,0.00628974478413521,0.00839667065191098,0.7490760379774739,37
AFR,2H10_2X,Chagyrskaya,EPO,2912.059503424657,2842.5089897260277,10361.799229452055,10200.96618150685,12958.26412671233,125.9636130136986,17650.6194349315,329.03638698630135,242390,0.012086138827161615,0.002220768117961149,5.4423236399204535,37,0.00782156702811429,0.0017822426114158048,4.388609596704051,37,0.008754061580981765,0.001790958916524102,4.887918701101012,37,0.005419956743093993,0.010023120616658561,0.5407454375123404,36,0.009285124084792254,0.0015998021936808227,5.803920085538233,37,0.007640261698724796,0.00799470104962753,0.9556657154904814,37
AFR,2H10_2X,Chagyrskaya,Chimp,2932.1468321917805,2804.7744006849307,10133.022688356163,10038.782106164383,12612.590325342464,129.71789383561642,17503.272688356166,320.5321061643835,238921,0.022202227699574046,0.003894895496019207,5.700339770929905,37,0.004671896399541775,0.0013392565013043468,3.48842540244655,37,0.008553605200976866,0.0017540492411548582,4.876490921854172,37,0.010203775790046608,0.01023493275508341,0.9969558212269322,37,0.005484607169676479,0.0009621866330661042,5.700148995210242,37,0.007470366905827836,0.008092695091780787,0.923100008230261,37
AFR,2H10_2X,Denisova,EPO,2593.402397260274,2869.0051369863017,10335.428082191782,10517.19178082192,10846.90667808219,95.75941780821917,17856.47688356164,238.49058219178085,240601,-0.05045444485753502,0.008715810346311416,-5.788841525089821,37,-0.008716588122940511,0.0017872822215041144,-4.877007121799116,37,-0.017380427975681446,0.0031809734270675846,-5.463870847768693,37,-0.02563472837400281,0.0111488970604573,-2.299306221502716,36,-0.010316939491320063,0.0017648263703659002,-5.8458665762009545,37,-0.016121974164714833,0.007681307575847162,-2.098858040186831,37
AFR,2H10_2X,Denisova,Chimp,2620.2581335616433,2840.2598458904104,10095.923373287671,10347.714469178083,10594.300513698628,99.30222602739727,17660.156678082192,228.44777397260273,237149,-0.04028953171780301,0.006963617302297871,-5.785718825258845,37,-0.012316354742275316,0.0024200560535224164,-5.089284904929675,37,-0.018213016145463033,0.003322300486805088,-5.482049627298372,37,-0.020962529606813683,0.011309151558267604,-1.8535899442862216,37,-0.01444442981898645,0.0024715140534854424,-5.8443648332147875,37,-0.016893964797899046,0.007721333110277078,-2.18795958633273,37
AFR,2H11_2X,Altai,EPO,2925.1973458904104,2769.6023116438355,10361.564640410961,10169.878852739726,12810.645119863015,94.30008561643837,17683.38570205479,252.9499143835616,242058,0.02732230167934388,0.004807014599470051,5.6838399621994125,37,0.009336206084836719,0.0021246686221936947,4.394193987388584,37,0.01324172966453794,0.002609655000588148,5.074130358822757,37,0.012235829857363855,0.019038479270993253,0.6426894545094358,36,0.01099718848147311,0.00189193430593277,5.812669312559046,37,0.011519665199719227,0.015213756608840522,0.7571874255583461,37
AFR,2H11_2X,Altai,Chimp,2945.568921232877,2746.312071917809,10142.664811643835,9977.461044520549,12465.340753424658,98.58390410958904,17535.6198630137,244.91609589041096,238580,0.03500720579977749,0.0061014784467838465,5.737495609483002,37,0.008210871457977066,0.0019522332599265504,4.205886471930095,37,0.014119809380417299,0.0027414979609859274,5.150399373391975,37,0.01611229619397779,0.02151690986006494,0.7488201744006917,37,0.009554484846210052,0.0016490636254918195,5.793884904447217,37,0.01228900279602305,0.015330642773338296,0.8015973614227709,37
AFR,2H11_2X,Vindija,EPO,2913.5650684931506,2790.0941780821922,10331.185787671231,10178.271404109588,13034.816780821919,153.84589041095893,17653.818493150684,461.9041095890411,242644,0.021647662504574453,0.0038533766680152667,5.617842315873151,37,0.007455798665550437,0.001839276391389061,4.053658656445679,37,0.01054377775426133,0.002172636993275529,4.852986387921726,37,0.009585526701475153,0.01873621156517274,0.5116043159596323,36,0.008894552412839788,0.0015345287030012022,5.796276339076611,37,0.009190514027990752,0.015214518463785662,0.6040621035668307,37
AFR,2H11_2X,Vindija,Chimp,2929.4302226027394,2770.0595034246576,10110.498715753423,9987.198202054793,12701.076626712327,155.70590753424656,17504.594606164377,450.79409246575335,239162,0.027962278526496236,0.004903944907946062,5.7019968721891265,37,0.006135056877555751,0.0016551271352889248,3.706698263082246,37,0.010957444188754514,0.002221950990885371,4.93145178885712,37,0.012703548005516659,0.018562172386139653,0.6843783012705118,37,0.007230090066996387,0.0012554387603483468,5.759014533684027,37,0.009549971201988944,0.015275739511100233,0.6251724307716418,37
AFR,2H11_2X,Chagyrskaya,EPO,2927.4130993150698,2807.6125856164385,10315.703339041092,10160.620291095891,12958.26412671233,125.96361301369862,17650.6194349315,329.03638698630135,242262,0.02088927239042731,0.003729843952779083,5.600575427522335,37,0.007573774020496083,0.0018713557426709392,4.047212321953401,37,0.010487196150783681,0.0021745777477161273,4.822635641240221,37,0.009335856308129845,0.018841133963574327,0.4955039503555842,36,0.008953168282364268,0.0015445317807055007,5.7966876397160965,37,0.009116025174067083,0.01552488301088662,0.5871880108645322,37
AFR,2H11_2X,Chagyrskaya,Chimp,2943.031250000001,2782.9088184931506,10100.818921232878,9971.828339041094,12612.590325342466,129.71789383561645,17503.272688356166,320.5321061643835,238793,0.027964391801430146,0.004904775021867843,5.701462692325633,37,0.006426186866097655,0.0017153780257397723,3.7462219812022504,37,0.011206544374476423,0.002273525970604826,4.929147288999363,37,0.012827370654105238,0.01888022646127528,0.6794076692043451,37,0.007506985371441254,0.0013026712810366623,5.762762625324184,37,0.00974572861734328,0.01561114742195854,0.6242800963902884,37
AFR,2H11_2X,Denisova,EPO,2705.8206335616446,2717.4233732876714,10403.747003424654,10381.010702054795,10846.90667808219,95.75941780821917,17856.47688356164,238.49058219178085,240429,-0.0021394463740471692,0.0009057718266274179,-2.362014705197067,37,0.0010938930196845954,0.0010567440655517514,1.0351541639492885,37,0.0004248153585320973,0.0008974638735177473,0.47335092928807077,37,-0.0010792094504090291,0.01607329617395082,-0.06714300780185022,36,0.0012905164631721701,0.00032691661014698986,3.947540207858884,37,0.00039245335496907,0.011553654718568332,0.03396789713114265,37
